Date,National/State/County,State,County,fips,Last Update,Data Quality Grade,Total Cases,New Cases,Total Deaths,New Deaths
2020-01-22,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-23,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-24,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-25,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-26,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-27,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-28,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-29,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-30,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-01-31,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-01,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-02,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-03,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-04,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-05,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-06,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1,0,0,0
2020-02-07,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,1,0,0
2020-02-08,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-09,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-10,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-11,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-12,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-13,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-14,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-15,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-16,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-17,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-18,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-19,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-20,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-21,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-22,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-23,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-24,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-25,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,0,0
2020-02-26,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,2,2
2020-02-27,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2,0,2,0
2020-02-28,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,9,7,4,2
2020-02-29,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,24,15,5,1
2020-03-01,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,112,88,8,3
2020-03-02,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,193,81,11,3
2020-03-03,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,294,101,14,3
2020-03-04,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,482,188,16,2
2020-03-05,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,634,152,20,4
2020-03-06,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,774,140,26,6
2020-03-07,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,993,219,27,1
2020-03-08,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1261,268,31,4
2020-03-09,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1626,365,35,4
2020-03-10,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2061,435,37,2
2020-03-11,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,2582,521,43,6
2020-03-12,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,3237,655,51,8
2020-03-13,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,4248,1011,55,4
2020-03-14,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,5147,899,63,8
2020-03-15,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,6373,1226,77,14
2020-03-16,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,7903,1530,98,21
2020-03-17,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,10177,2274,120,22
2020-03-18,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,12985,2808,147,27
2020-03-19,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,17373,4388,190,43
2020-03-20,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,23315,5942,255,65
2020-03-21,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,29903,6588,307,52
2020-03-22,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,38912,9009,438,131
2020-03-23,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,49825,10913,522,84
2020-03-24,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,59972,10147,727,205
2020-03-25,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,72216,12244,954,227
2020-03-26,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,89408,17192,1234,280
2020-03-27,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,107977,18569,1609,375
2020-03-28,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,127213,19236,2050,441
2020-03-29,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,146626,19413,2541,491
2020-03-30,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,167800,21174,3080,539
2020-03-31,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,192114,24314,3902,822
2020-04-01,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,217249,25135,4844,942
2020-04-02,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,245298,28049,5952,1108
2020-04-03,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,277066,31768,7154,1202
2020-04-04,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,310440,33374,8535,1381
2020-04-05,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,336217,25777,9769,1234
2020-04-06,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,364947,28730,10984,1215
2020-04-07,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,395284,30337,12898,1914
2020-04-08,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,425375,30091,14804,1906
2020-04-09,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,459625,34250,16742,1938
2020-04-10,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,494021,34396,18835,2093
2020-04-11,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,525043,31022,20778,1943
2020-04-12,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,552992,27949,22337,1559
2020-04-13,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,578058,25066,23876,1539
2020-04-14,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,604005,25947,26185,2309
2020-04-15,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,634325,30320,28684,2499
2020-04-16,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,665358,31033,30829,2145
2020-04-17,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,697209,31851,32901,2072
2020-04-18,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,725252,28043,34689,1788
2020-04-19,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,752761,27509,36378,1689
2020-04-20,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,778049,25288,38100,1722
2020-04-21,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,804034,25985,40634,2534
2020-04-22,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,832637,28603,42676,2042
2020-04-23,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,864431,31794,44492,1816
2020-04-24,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,898619,34188,46352,1860
2020-04-25,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,934571,35952,48142,1790
2020-04-26,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,961778,27207,49255,1113
2020-04-27,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,982845,21067,50454,1199
2020-04-28,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1007910,25065,52565,2111
2020-04-29,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1035020,27110,55272,2707
2020-04-30,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1064408,29388,57406,2134
2020-05-01,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1097667,33259,59143,1737
2020-05-02,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1127547,29880,60782,1639
2020-05-03,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1153601,26054,61959,1177
2020-05-04,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1175125,21524,62887,928
2020-05-05,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1197258,22133,65396,2509
2020-05-06,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1222325,25067,67339,1943
2020-05-07,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1249785,27460,70079,2740
2020-05-08,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1277442,27657,71845,1766
2020-05-09,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1302618,25176,73369,1524
2020-05-10,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1324533,21915,74365,996
2020-05-11,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1341876,17343,75212,847
2020-05-12,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1363326,21450,76728,1516
2020-05-13,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1383755,20429,78415,1687
2020-05-14,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1410694,26939,80320,1905
2020-05-15,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1435146,24452,81809,1489
2020-05-16,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1460249,25103,83098,1289
2020-05-17,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1481276,21027,83952,854
2020-05-18,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1501121,19845,84739,787
2020-05-19,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1522367,21246,86161,1422
2020-05-20,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1543794,21427,87547,1386
2020-05-21,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1569883,26089,88978,1431
2020-05-22,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1594286,24403,90263,1285
2020-05-23,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1616622,22336,91350,1087
2020-05-24,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1637245,20623,92005,655
2020-05-25,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1656280,19035,92541,536
2020-05-26,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1672492,16212,93177,636
2020-05-27,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1691734,19242,94492,1315
2020-05-28,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1714183,22449,95778,1286
2020-05-29,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1737966,23783,96963,1185
2020-05-30,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1762227,24261,97933,970
2020-05-31,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1784578,22351,98600,667
2020-06-01,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1800662,16084,99078,478
2020-06-02,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1824172,23510,100246,1168
2020-06-03,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1844235,20063,101217,971
2020-06-04,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1864775,20540,102101,884
2020-06-05,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1893167,28392,103201,1100
2020-06-06,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1916229,23062,103947,746
2020-06-07,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1936161,19932,104400,453
2020-06-08,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1953039,16878,105040,640
2020-06-09,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1970596,17557,105981,941
2020-06-10,National,N/A,N/A,NA,2020-06-11T18:58:07Z,NA,1991527,20931,106870,889
2020-03-06,State,AK,N/A,02,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-07,State,AK,N/A,02,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-08,State,AK,N/A,02,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-09,State,AK,N/A,02,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-10,State,AK,N/A,02,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-11,State,AK,N/A,02,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-12,State,AK,N/A,02,2020-06-11T18:58:07Z,,0,0,0,0
2020-03-13,State,AK,N/A,02,2020-06-11T18:58:07Z,,1,1,0,0
2020-03-14,State,AK,N/A,02,2020-06-11T18:58:07Z,,1,0,0,0
2020-03-15,State,AK,N/A,02,2020-06-11T18:58:07Z,,1,0,0,0
2020-03-16,State,AK,N/A,02,2020-06-11T18:58:07Z,,1,0,0,0
2020-03-17,State,AK,N/A,02,2020-06-11T18:58:07Z,,3,2,0,0
2020-03-18,State,AK,N/A,02,2020-06-11T18:58:07Z,,6,3,0,0
2020-03-19,State,AK,N/A,02,2020-06-11T18:58:07Z,,6,0,0,0
2020-03-20,State,AK,N/A,02,2020-06-11T18:58:07Z,,12,6,0,0
2020-03-21,State,AK,N/A,02,2020-06-11T18:58:07Z,,14,2,0,0
2020-03-22,State,AK,N/A,02,2020-06-11T18:58:07Z,,22,8,0,0
2020-03-23,State,AK,N/A,02,2020-06-11T18:58:07Z,A,22,0,0,0
2020-03-24,State,AK,N/A,02,2020-06-11T18:58:07Z,A,36,14,0,0
2020-03-25,State,AK,N/A,02,2020-06-11T18:58:07Z,A,42,6,1,1
2020-03-26,State,AK,N/A,02,2020-06-11T18:58:07Z,A,59,17,1,0
2020-03-27,State,AK,N/A,02,2020-06-11T18:58:07Z,A,69,10,1,0
2020-03-28,State,AK,N/A,02,2020-06-11T18:58:07Z,A,85,16,2,1
2020-03-29,State,AK,N/A,02,2020-06-11T18:58:07Z,A,102,17,2,0
2020-03-30,State,AK,N/A,02,2020-06-11T18:58:07Z,A,114,12,3,1
2020-03-31,State,AK,N/A,02,2020-06-11T18:58:07Z,A,119,5,3,0
2020-04-01,State,AK,N/A,02,2020-06-11T18:58:07Z,A,133,14,3,0
2020-04-02,State,AK,N/A,02,2020-06-11T18:58:07Z,A,143,10,3,0
2020-04-03,State,AK,N/A,02,2020-06-11T18:58:07Z,A,157,14,3,0
2020-04-04,State,AK,N/A,02,2020-06-11T18:58:07Z,A,171,14,5,2
2020-04-05,State,AK,N/A,02,2020-06-11T18:58:07Z,A,185,14,6,1
2020-04-06,State,AK,N/A,02,2020-06-11T18:58:07Z,A,191,6,6,0
2020-04-07,State,AK,N/A,02,2020-06-11T18:58:07Z,A,213,22,6,0
2020-04-08,State,AK,N/A,02,2020-06-11T18:58:07Z,A,226,13,7,1
2020-04-09,State,AK,N/A,02,2020-06-11T18:58:07Z,A,235,9,7,0
2020-04-10,State,AK,N/A,02,2020-06-11T18:58:07Z,A,246,11,7,0
2020-04-11,State,AK,N/A,02,2020-06-11T18:58:07Z,A,257,11,8,1
2020-04-12,State,AK,N/A,02,2020-06-11T18:58:07Z,A,272,15,8,0
2020-04-13,State,AK,N/A,02,2020-06-11T18:58:07Z,A,277,5,8,0
2020-04-14,State,AK,N/A,02,2020-06-11T18:58:07Z,A,285,8,9,1
2020-04-15,State,AK,N/A,02,2020-06-11T18:58:07Z,A,293,8,9,0
2020-04-16,State,AK,N/A,02,2020-06-11T18:58:07Z,A,300,7,9,0
2020-04-17,State,AK,N/A,02,2020-06-11T18:58:07Z,A,309,9,9,0
2020-04-18,State,AK,N/A,02,2020-06-11T18:58:07Z,A,314,5,9,0
2020-04-19,State,AK,N/A,02,2020-06-11T18:58:07Z,A,319,5,9,0
2020-04-20,State,AK,N/A,02,2020-06-11T18:58:07Z,A,321,2,9,0
2020-04-21,State,AK,N/A,02,2020-06-11T18:58:07Z,A,329,8,9,0
2020-04-22,State,AK,N/A,02,2020-06-11T18:58:07Z,A,335,6,9,0
2020-04-23,State,AK,N/A,02,2020-06-11T18:58:07Z,A,337,2,9,0
2020-04-24,State,AK,N/A,02,2020-06-11T18:58:07Z,A,339,2,9,0
2020-04-25,State,AK,N/A,02,2020-06-11T18:58:07Z,B,339,0,9,0
2020-04-26,State,AK,N/A,02,2020-06-11T18:58:07Z,B,341,2,9,0
2020-04-27,State,AK,N/A,02,2020-06-11T18:58:07Z,B,345,4,9,0
2020-04-28,State,AK,N/A,02,2020-06-11T18:58:07Z,B,351,6,9,0
2020-04-29,State,AK,N/A,02,2020-06-11T18:58:07Z,B,355,4,9,0
2020-04-30,State,AK,N/A,02,2020-06-11T18:58:07Z,C,355,0,9,0
2020-05-01,State,AK,N/A,02,2020-06-11T18:58:07Z,C,364,9,9,0
2020-05-02,State,AK,N/A,02,2020-06-11T18:58:07Z,C,365,1,9,0
2020-05-03,State,AK,N/A,02,2020-06-11T18:58:07Z,C,368,3,9,0
2020-05-04,State,AK,N/A,02,2020-06-11T18:58:07Z,C,370,2,9,0
2020-05-05,State,AK,N/A,02,2020-06-11T18:58:07Z,C,371,1,9,0
2020-05-06,State,AK,N/A,02,2020-06-11T18:58:07Z,C,372,1,10,1
2020-05-07,State,AK,N/A,02,2020-06-11T18:58:07Z,C,374,2,10,0
2020-05-08,State,AK,N/A,02,2020-06-11T18:58:07Z,C,377,3,10,0
2020-05-09,State,AK,N/A,02,2020-06-11T18:58:07Z,C,378,1,10,0
2020-05-10,State,AK,N/A,02,2020-06-11T18:58:07Z,C,379,1,10,0
2020-05-11,State,AK,N/A,02,2020-06-11T18:58:07Z,C,381,2,10,0
2020-05-12,State,AK,N/A,02,2020-06-11T18:58:07Z,B,383,2,10,0
2020-05-13,State,AK,N/A,02,2020-06-11T18:58:07Z,B,383,0,10,0
2020-05-14,State,AK,N/A,02,2020-06-11T18:58:07Z,B,387,4,10,0
2020-05-15,State,AK,N/A,02,2020-06-11T18:58:07Z,B,388,1,10,0
2020-05-16,State,AK,N/A,02,2020-06-11T18:58:07Z,B,392,4,10,0
2020-05-17,State,AK,N/A,02,2020-06-11T18:58:07Z,B,396,4,10,0
2020-05-18,State,AK,N/A,02,2020-06-11T18:58:07Z,B,399,3,10,0
2020-05-19,State,AK,N/A,02,2020-06-11T18:58:07Z,B,399,0,10,0
2020-05-20,State,AK,N/A,02,2020-06-11T18:58:07Z,C,402,3,10,0
2020-05-21,State,AK,N/A,02,2020-06-11T18:58:07Z,C,402,0,10,0
2020-05-22,State,AK,N/A,02,2020-06-11T18:58:07Z,C,404,2,10,0
2020-05-23,State,AK,N/A,02,2020-06-11T18:58:07Z,C,408,4,10,0
2020-05-24,State,AK,N/A,02,2020-06-11T18:58:07Z,C,408,0,10,0
2020-05-25,State,AK,N/A,02,2020-06-11T18:58:07Z,C,409,1,10,0
2020-05-26,State,AK,N/A,02,2020-06-11T18:58:07Z,C,411,2,10,0
2020-05-27,State,AK,N/A,02,2020-06-11T18:58:07Z,C,412,1,10,0
2020-05-28,State,AK,N/A,02,2020-06-11T18:58:07Z,B,425,13,10,0
2020-05-29,State,AK,N/A,02,2020-06-11T18:58:07Z,A,430,5,10,0
2020-05-30,State,AK,N/A,02,2020-06-11T18:58:07Z,A,434,4,10,0
2020-05-31,State,AK,N/A,02,2020-06-11T18:58:07Z,A,434,0,10,0
2020-06-01,State,AK,N/A,02,2020-06-11T18:58:07Z,A,467,33,10,0
2020-06-02,State,AK,N/A,02,2020-06-11T18:58:07Z,A,487,20,10,0
2020-06-03,State,AK,N/A,02,2020-06-11T18:58:07Z,A,505,18,10,0
2020-06-04,State,AK,N/A,02,2020-06-11T18:58:07Z,A,513,8,10,0
2020-06-05,State,AK,N/A,02,2020-06-11T18:58:07Z,A,524,11,10,0
2020-06-06,State,AK,N/A,02,2020-06-11T18:58:07Z,A,536,12,10,0
2020-06-07,State,AK,N/A,02,2020-06-11T18:58:07Z,B,544,8,10,0
2020-06-08,State,AK,N/A,02,2020-06-11T18:58:07Z,B,563,19,10,0
2020-06-09,State,AK,N/A,02,2020-06-11T18:58:07Z,A,573,10,11,1
2020-06-10,State,AK,N/A,02,2020-06-11T18:58:07Z,A,593,20,11,0
2020-03-07,State,AL,N/A,01,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-08,State,AL,N/A,01,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-09,State,AL,N/A,01,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-10,State,AL,N/A,01,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-11,State,AL,N/A,01,2020-06-11T18:58:07Z,NA,0,0,0,0
2020-03-12,State,AL,N/A,01,2020-06-11T18:58:07Z,,0,0,0,0
2020-03-13,State,AL,N/A,01,2020-06-11T18:58:07Z,,1,1,0,0
2020-03-14,State,AL,N/A,01,2020-06-11T18:58:07Z,,6,5,0,0
2020-03-15,State,AL,N/A,01,2020-06-11T18:58:07Z,,12,6,0,0
2020-03-16,State,AL,N/A,01,2020-06-11T18:58:07Z,,28,16,0,0
2020-03-17,State,AL,N/A,01,2020-06-11T18:58:07Z,,36,8,0,0
2020-03-18,State,AL,N/A,01,2020-06-11T18:58:07Z,,46,10,0,0
2020-03-19,State,AL,N/A,01,2020-06-11T18:58:07Z,,68,22,0,0
2020-03-20,State,AL,N/A,01,2020-06-11T18:58:07Z,,81,13,0,0
2020-03-21,State,AL,N/A,01,2020-06-11T18:58:07Z,,124,43,0,0
2020-03-22,State,AL,N/A,01,2020-06-11T18:58:07Z,,138,14,0,0
2020-03-23,State,AL,N/A,01,2020-06-11T18:58:07Z,C,167,29,0,0
2020-03-24,State,AL,N/A,01,2020-06-11T18:58:07Z,C,215,48,0,0
2020-03-25,State,AL,N/A,01,2020-06-11T18:58:07Z,C,283,68,0,0
2020-03-26,State,AL,N/A,01,2020-06-11T18:58:07Z,C,506,223,1,1
2020-03-27,State,AL,N/A,01,2020-06-11T18:58:07Z,B,587,81,3,2
2020-03-28,State,AL,N/A,01,2020-06-11T18:58:07Z,B,696,109,3,0
2020-03-29,State,AL,N/A,01,2020-06-11T18:58:07Z,B,806,110,4,1
2020-03-30,State,AL,N/A,01,2020-06-11T18:58:07Z,B,859,53,6,2
2020-03-31,State,AL,N/A,01,2020-06-11T18:58:07Z,B,981,122,13,7
2020-04-01,State,AL,N/A,01,2020-06-11T18:58:07Z,B,1077,96,26,13
2020-04-02,State,AL,N/A,01,2020-06-11T18:58:07Z,B,1233,156,32,6
2020-04-03,State,AL,N/A,01,2020-06-11T18:58:07Z,B,1432,199,35,3
2020-04-04,State,AL,N/A,01,2020-06-11T18:58:07Z,B,1580,148,43,8
2020-04-05,State,AL,N/A,01,2020-06-11T18:58:07Z,B,1796,216,45,2
2020-04-06,State,AL,N/A,01,2020-06-11T18:58:07Z,B,1968,172,50,5
2020-04-07,State,AL,N/A,01,2020-06-11T18:58:07Z,B,2119,151,56,6
2020-04-08,State,AL,N/A,01,2020-06-11T18:58:07Z,B,2369,250,66,10
2020-04-09,State,AL,N/A,01,2020-06-11T18:58:07Z,B,2769,400,74,8
2020-04-10,State,AL,N/A,01,2020-06-11T18:58:07Z,B,2968,199,80,6
2020-04-11,State,AL,N/A,01,2020-06-11T18:58:07Z,B,3191,223,91,11
2020-04-12,State,AL,N/A,01,2020-06-11T18:58:07Z,B,3525,334,93,2
2020-04-13,State,AL,N/A,01,2020-06-11T18:58:07Z,B,3734,209,99,6
2020-04-14,State,AL,N/A,01,2020-06-11T18:58:07Z,B,3876,142,110,11
2020-04-15,State,AL,N/A,01,2020-06-11T18:58:07Z,B,4113,237,121,11
2020-04-16,State,AL,N/A,01,2020-06-11T18:58:07Z,B,4345,232,133,12
2020-04-17,State,AL,N/A,01,2020-06-11T18:58:07Z,B,4530,185,144,11
2020-04-18,State,AL,N/A,01,2020-06-11T18:58:07Z,B,4655,125,146,2
2020-04-19,State,AL,N/A,01,2020-06-11T18:58:07Z,B,4837,182,154,8
2020-04-20,State,AL,N/A,01,2020-06-11T18:58:07Z,B,5025,188,167,13
2020-04-21,State,AL,N/A,01,2020-06-11T18:58:07Z,B,5231,206,177,10
2020-04-22,State,AL,N/A,01,2020-06-11T18:58:07Z,B,5465,234,194,17
2020-04-23,State,AL,N/A,01,2020-06-11T18:58:07Z,B,5778,313,197,3
2020-04-24,State,AL,N/A,01,2020-06-11T18:58:07Z,B,5832,54,197,0
2020-04-25,State,AL,N/A,01,2020-06-11T18:58:07Z,B,6137,305,212,15
2020-04-26,State,AL,N/A,01,2020-06-11T18:58:07Z,B,6270,133,216,4
2020-04-27,State,AL,N/A,01,2020-06-11T18:58:07Z,B,6499,229,222,6
2020-04-28,State,AL,N/A,01,2020-06-11T18:58:07Z,B,6687,188,242,20
2020-04-29,State,AL,N/A,01,2020-06-11T18:58:07Z,B,6842,155,245,3
2020-04-30,State,AL,N/A,01,2020-06-11T18:58:07Z,B,7019,177,269,24
2020-05-01,State,AL,N/A,01,2020-06-11T18:58:07Z,B,7158,139,279,10
2020-05-02,State,AL,N/A,01,2020-06-11T18:58:07Z,B,7434,276,288,9
2020-05-03,State,AL,N/A,01,2020-06-11T18:58:07Z,B,7725,291,290,2
2020-05-04,State,AL,N/A,01,2020-06-11T18:58:07Z,B,8025,300,296,6
2020-05-05,State,AL,N/A,01,2020-06-11T18:58:07Z,B,8285,260,313,17
2020-05-06,State,AL,N/A,01,2020-06-11T18:58:07Z,B,8581,296,340,27
2020-05-07,State,AL,N/A,01,2020-06-11T18:58:07Z,B,8898,317,349,9
2020-05-08,State,AL,N/A,01,2020-06-11T18:58:07Z,B,9221,323,375,26
2020-05-09,State,AL,N/A,01,2020-06-11T18:58:07Z,B,9567,346,388,13
2020-05-10,State,AL,N/A,01,2020-06-11T18:58:07Z,B,9777,210,393,5
2020-05-11,State,AL,N/A,01,2020-06-11T18:58:07Z,B,10009,232,401,8
2020-05-12,State,AL,N/A,01,2020-06-11T18:58:07Z,B,10310,301,429,28
